date,agent,equity,cash,spy_close
2026-06-10,bull,98374.22,74304.65,727.87
2026-06-11,bull,98825.30,74304.63,737.62
2026-06-12,bull,98696.00,74304.63,741.02
2026-06-15,bull,98897.57,74304.63,754.04
2026-06-16,bull,99209.83,74304.63,751.01
2026-06-17,bull,99037.62,74304.63,740.23
2026-06-18,bull,99074.81,74304.63,747.47
2026-06-19,bull,99039.61,74304.63,747.47
2026-06-22,bull,99078.33,67261.74,744.69
2026-06-23,bull,98711.58,67261.73,734.71
2026-06-24,bull,98724.14,67261.73,732.24
2026-06-25,bull,98925.93,73615.76,731.57
2026-06-26,bull,99692.61,73615.74,732.865
2026-06-29,bull,99940.72,73615.74,740.87
2026-06-30,bull,99654.56,80023.74,746.72
2026-07-01,bull,99626.38,80023.72,746.5225
2026-07-02,bull,100016.50,80023.72,743.90
2026-07-03,bull,100129.68,80023.72,744.86
2026-07-06,bull,99924.58,80023.72,751.96
2026-07-08,bull,99847.38,80023.72,745.09
2026-07-09,bull,99819.48,80023.72,751.155
2026-07-10,bull,99603.88,80023.72,755.36
2026-07-13,bull,99703.11,76244.80,749.33
2026-07-14,bull,99368.15,76244.79,752.16
2026-07-15,bull,99267.59,68359.98,754.04
